"","Nomestado","valor_siniestrada","porcentaje_siniestrado"
"1","San Luis Potosí",722751265.03,4.57955711021175
"2","Campeche",129696639.16,2.8190522133587
"3","Veracruz",125537557.2607,0.321637880987661
"4","Tamaulipas",114130465.733,0.628843280331015
"5","Michoacán",110459540.06,0.137246588469108
"6","Zacatecas",93714975.825,0.465216730724092
"7","Nayarit",80909319.4821,0.834495819655758
"8","Oaxaca",74350471.1722,0.422039223711436
"9","Hidalgo",64718247.839,0.848902382227028
"10","Guerrero",51229969.7288,0.332312606548404
"11","Durango",46134314.085,0.445052231919536
"12","Puebla",44188493.94,0.278685832417327
"13","Tabasco",43001310.94,0.691102146758664
"14","Coahuila",42768217.019,0.552077950571934
"15","Sinaloa",38872088.036,0.0802351245518642
"16","Guanajuato",25675870.14,0.094928107242976
"17","Nuevo León",22539975.03,0.451705889723837
"18","Sonora",18802433.13,0.0466045157229627
"19","México",11492479.02,0.0676319816715809
"20","Querétaro",8619718.39,0.219700702200302
"21","Chiapas",6644228.72,0.037549205873742
"22","Yucatán",4468793.3176,0.112320055213137
"23","Chihuahua",2438858.91,0.00576611092145271
"24","Quintana Roo",1491736.35,0.0646189710082596
"25","Morelos",909259.875,0.0134338225625145
"26","Tlaxcala",379874.2,0.0135880187732779
"27","Baja California Sur",302992.925,0.00594079977771966
"28","Ciudad de México / DF",33215.01,0.00393630045651748
"29","Baja California",31997.575,0.000175899244499778
"30","Aguascalientes",0,0
"31","Colima",0,0
"32","Jalisco",0,0
